id,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),LII,BII,AngSep(deg),Theta95(deg),Redshift,SED Class,Log nuSync.(Hz),Log nuSync.Z corr.(Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Flux 1-100 GeV Error,Spectral Index,Spectral Type,Power Law Index,Radio flux(mJy),Radio flag,X Flux(erg cm-2 s-1),USNOVmag,SDSSVmag,ARO,AOX,CLEAN
345,3FGL J0449.4-4350,PKS 0447-439,5BZBJ0449-4350,bll,72.35290922,-43.8358228,248.8,-39.92,0.006,0.012,0.205,HSP,15.59,15.671,1,0.96,0.98,96.51,0.000000010318667,2.51e-10,1.849,PowerLaw,1.85,382.1,sumss,1.43e-11,15.3074,0.000,0.3811,1.1855,Y
346,3FGL J0453.2+6321,NVSS J045312+632117,, bcu III,73.30190231,63.35497679,146.45,12.16,0.013,0.044,0.000,-,0.000,0.000,1,0.000,0.000,10.5,0.0000000006954588,9.06e-11,2.3469,PowerLaw,2.35,20.2621,wise/nvss,0.000,19.6382,0.000,0.4405,-9.9,Y
347,3FGL J0453.2-2808,PKS 0451-28,5BZQJ0453-2807,fsrq,73.3110283,-28.12703515,229.01,-37.02,0.02,0.057,2.564,LSP,12.495,13.047,1,0.97,0.000,32.05,0.0000000014291339,1.05e-10,2.6301,PowerLaw,2.63,2541.7356,nvss,3.85e-13,18.1142,0.000,0.8316,1.2221,Y
348,3FGL J0455.7-4617,PKS 0454-46,5BZQJ0455-4615,fsrq,73.96155215,-46.26629998,251.96,-38.82,0.022,0.055,0.858,LSP,12.495,12.764,1,0.98,0.85,30.01,0.0000000014628943,1.07e-10,2.5459,PowerLaw,2.55,2874,sumss,1.52e-12,16.8478,0.000,0.7168,1.2276,Y
349,3FGL J0456.3+2702,MG2 J045613+2702,, bcu II,74.07235789,27.03921023,175.37,-10.05,0.015,0.084,0.000,LSP,13.285,13.285,1,0.85,0.000,10.57,0.0000000011155076,1.43e-10,2.4602,PowerLaw,2.46,147.6212,nvss,0.000,0.000,0.000,-9.9,-9.9,Y
350,3FGL J0456.3-3131,PMN J0456-3135,5BZQJ0456-3136,fsrq,74.15284756,-31.60346748,233.46,-37.09,0.098,0.143,0.865,LSP,13.328,13.599,0.99,0.000,0.000,9.05,0.00000000040261217,7.00e-11,2.5378,PowerLaw,2.54,88.1141,nvss,0.000,18.3209,0.000,0.5846,1.2863,Y
351,3FGL J0457.0+0643,4C +06.21,5BZQJ0457+0645,fsrq,74.28212484,6.752016825,192.7,-21.67,0.03,0.206,0.405,LSP,12.935,13.083,1,0.85,0.000,4.89,0.0000000003643483,8.64e-11,2.5475,PowerLaw,2.55,530.3994,nvss,0.000,18.6684,0.000,0.7188,1.2247,N
352,3FGL J0457.0-2324,PKS 0454-234,5BZQJ0457-2324,fsrq,74.26324678,-23.41445007,223.7,-34.9,0.003,0.013,1.003,LSP,12.865,13.167,1,0.99,0.000,161.08,0.00000001803525,3.33e-10,2.0387,LogParabola,2.21,1727.0597,nvss,0.000,17.377,0.000,0.751,1.3083,Y
353,3FGL J0501.2-0157,S3 0458-02,5BZQJ0501-0159,fsrq,75.30337452,-1.987293431,201.45,-25.3,0.026,0.043,2.291,LSP,13.005,13.522,1,0.97,0.000,32.49,0.0000000023240985,1.43e-10,2.4137,PowerLaw,2.41,2264.9404,nvss,0.000,18.8919,0.000,0.8722,1.0684,Y
354,3FGL J0502.5+0612,PKS 0459+060,5BZQJ0502+0609,fsrq,75.56435808,6.152081675,193.98,-20.91,0.087,0.163,1.106,LSP,12.795,13.118,0.98,0.9,0.000,5.92,0.00000000042522866,8.94e-11,2.7059,PowerLaw,2.71,915.3541,nvss,0.000,18.6597,0.000,0.7571,-9.9,Y
355,3FGL J0503.5+6538,1E 0458.1+6530,5BZBJ0503+6534,bll,75.7730148,65.5670119,145.27,14.33,0.082,0.066,0.000,-,0.000,0.000,0.96,0.000,0.89,5.42,0.00000000031470715,6.99e-11,2.2102,PowerLaw,2.21,78.3011,nvss,1.64e-11,18.5881,0.000,0.4563,0.7262,Y
356,3FGL J0505.3+0459,PKS 0502+049,5BZQJ0505+0459,fsrq,76.34660303,4.995201244,195.47,-20.86,0.004,0.041,0.954,LSP,13.18,13.471,1,0.96,0.89,24.73,0.0000000027476494,1.73e-10,2.4631,LogParabola,2.43,987.05,nvss,1.75e-12,17.429,0.000,0.6642,1.1893,Y
357,3FGL J0505.3-0422,S3 0503-04,5BZQJ0505-0419,fsrq,76.46349324,-4.324059489,204.33,-25.4,0.124,0.124,1.481,LSP,12.9,13.295,0.97,0.81,0.000,5.24,0.00000000052135124,1.05e-10,2.2568,PowerLaw,2.26,268,at20g,0.000,20.2365,20.7,0.8013,1.1355,Y
